Gender,Ever_Married,Age,Graduated,Profession,Spending_Score,Family_Size,Var_1,Work_Experience_Cleaned
Female,Yes,55,Yes,Artist,Average,3.0,Cat_6,1.0
Male,Yes,48,No,Executive,High,2.0,Cat_4,5.0
Female,No,18,No,Healthcare,Low,5.0,Cat_3,0.0
Female,No,38,Yes,Artist,Low,3.0,Cat_6,1.0
Male,Yes,83,Yes,Executive,High,2.0,Cat_6,
Male,No,23,No,Healthcare,Low,3.0,Cat_3,
Male,No,22,No,,Low,2.0,Cat_3,2.0
Male,Yes,65,Yes,Homemaker,High,2.0,Cat_6,
Male,Yes,72,Yes,Artist,Average,2.0,Cat_6,
Male,Yes,58,Yes,Doctor,Average,2.0,Cat_6,1.0
Female,Yes,42,Yes,Engineer,Low,2.0,Cat_3,8.0
Male,Yes,80,No,Lawyer,High,2.0,Cat_6,
Female,Yes,55,Yes,Artist,High,5.0,Cat_6,
Female,Yes,88,Yes,Lawyer,Low,,Cat_6,1.0
Male,Yes,71,Yes,Artist,High,2.0,Cat_6,
Male,No,33,Yes,Healthcare,Low,4.0,Cat_2,8.0
Female,No,22,No,Healthcare,Low,8.0,Cat_4,1.0
Female,No,25,Yes,Artist,Low,6.0,Cat_6,
Female,Yes,47,Yes,Doctor,Average,5.0,Cat_2,
Male,Yes,50,Yes,Entertainment,Average,4.0,Cat_3,1.0
Male,Yes,67,No,Executive,High,2.0,Cat_6,1.0
Male,Yes,57,Yes,Entertainment,Low,2.0,Cat_6,
Male,Yes,20,No,Healthcare,Average,4.0,Cat_7,1.0
Male,Yes,31,No,Executive,Average,2.0,Cat_6,9.0
Male,No,25,Yes,Healthcare,Low,1.0,Cat_6,
Male,No,30,Yes,Entertainment,Low,5.0,Cat_3,
Female,Yes,47,Yes,Homemaker,High,5.0,Cat_6,
Male,Yes,84,No,Lawyer,High,2.0,Cat_6,1.0
Female,No,29,Yes,Doctor,Low,5.0,Cat_6,10.0
Male,Yes,87,No,Executive,High,2.0,Cat_6,
Male,No,33,Yes,Artist,Low,2.0,Cat_6,
Male,Yes,50,Yes,Artist,Average,3.0,Cat_6,1.0
Female,No,25,Yes,Artist,Low,1.0,Cat_6,13.0
Female,Yes,46,Yes,Artist,Average,2.0,Cat_2,1.0
Male,No,29,Yes,Executive,Low,5.0,Cat_6,
Female,No,38,Yes,Doctor,Low,5.0,Cat_2,5.0
Male,Yes,53,Yes,Artist,High,3.0,Cat_6,
Male,Yes,31,Yes,Entertainment,Average,2.0,Cat_6,
Male,Yes,88,No,Lawyer,Low,,Cat_6,
Male,Yes,68,Yes,Entertainment,Low,3.0,Cat_2,
Female,No,26,Yes,Healthcare,Low,1.0,Cat_6,
Male,Yes,81,No,Lawyer,High,2.0,Cat_6,1.0
Male,Yes,43,Yes,Artist,Average,3.0,Cat_6,6.0
Male,No,18,No,Healthcare,Low,4.0,Cat_6,6.0
Male,Yes,78,Yes,Lawyer,High,5.0,Cat_6,
Male,Yes,47,No,Entertainment,Low,2.0,Cat_6,1.0
Male,Yes,40,Yes,Healthcare,Low,3.0,Cat_6,1.0
Female,Yes,52,Yes,Doctor,Average,4.0,Cat_6,
Male,No,52,Yes,Entertainment,Low,,Cat_3,
Female,No,29,Yes,Artist,Low,2.0,Cat_6,14.0
Male,No,21,No,Healthcare,Low,4.0,Cat_3,1.0
Female,Yes,42,Yes,Entertainment,Average,4.0,Cat_3,
Male,Yes,55,Yes,Artist,Average,2.0,Cat_4,1.0
Female,Yes,32,Yes,Doctor,Average,2.0,Cat_4,
Female,Yes,41,Yes,Artist,High,3.0,Cat_5,5.0
Male,No,19,No,Healthcare,Low,3.0,Cat_6,0.0
Male,Yes,57,Yes,Executive,High,2.0,Cat_6,7.0
Female,Yes,80,No,Lawyer,High,2.0,Cat_6,1.0
Male,No,33,Yes,Entertainment,Low,6.0,Cat_6,9.0
Male,Yes,37,Yes,Entertainment,Average,2.0,Cat_2,8.0
Male,,52,Yes,Artist,Low,4.0,Cat_4,
Female,No,28,No,Homemaker,Low,,Cat_3,
Male,Yes,78,,Lawyer,Low,,Cat_3,
Male,Yes,70,Yes,Entertainment,Average,2.0,Cat_6,8.0
Female,No,40,No,Marketing,Low,1.0,Cat_6,1.0
Male,No,22,No,Healthcare,Low,5.0,Cat_6,0.0
Male,Yes,52,No,Doctor,Average,4.0,Cat_3,
Male,Yes,50,Yes,Executive,High,4.0,Cat_6,
Female,No,65,Yes,Lawyer,Low,5.0,Cat_6,
Female,Yes,67,Yes,Artist,High,2.0,Cat_6,
Male,Yes,45,No,Engineer,Average,5.0,Cat_6,1.0
Female,Yes,51,No,Executive,Low,1.0,Cat_6,
Female,Yes,49,Yes,Artist,Average,3.0,Cat_6,1.0
Male,No,18,No,Healthcare,Low,3.0,Cat_6,
Male,No,35,Yes,Artist,Low,1.0,Cat_6,3.0
Male,Yes,53,Yes,Executive,High,4.0,Cat_6,4.0
Male,Yes,72,Yes,Marketing,Low,1.0,Cat_6,
Male,Yes,50,Yes,Artist,Average,3.0,Cat_6,1.0
Female,Yes,73,No,Artist,High,2.0,Cat_6,1.0
Male,Yes,59,Yes,Artist,Low,1.0,Cat_4,4.0
Female,Yes,37,No,Engineer,Average,4.0,Cat_4,
Male,Yes,49,Yes,Artist,Average,2.0,Cat_6,
Female,No,25,Yes,Entertainment,Low,6.0,Cat_2,
Male,Yes,63,Yes,Executive,High,2.0,Cat_6,1.0
Male,Yes,67,No,Lawyer,Low,,Cat_6,
Female,Yes,39,No,Engineer,Average,3.0,Cat_6,
Male,No,18,No,Healthcare,Low,4.0,Cat_4,0.0
Male,No,61,Yes,Entertainment,Low,3.0,Cat_2,1.0
Female,Yes,62,Yes,Artist,High,2.0,Cat_6,
Female,No,23,No,Doctor,Low,3.0,Cat_6,
Male,No,39,Yes,Artist,Low,1.0,Cat_6,
Female,Yes,35,Yes,Artist,Average,4.0,Cat_6,9.0
Female,No,25,No,Engineer,Low,3.0,Cat_4,5.0
Male,Yes,61,No,Artist,Average,2.0,Cat_6,1.0
Male,No,42,Yes,Artist,Low,2.0,Cat_6,1.0
Male,No,76,Yes,Lawyer,Low,2.0,Cat_6,
Female,Yes,47,Yes,Artist,Average,2.0,Cat_6,
Female,No,31,No,Healthcare,Low,1.0,Cat_6,9.0
Male,Yes,38,Yes,Doctor,Average,5.0,Cat_6,
Male,No,19,No,,Low,4.0,Cat_4,9.0
Male,Yes,37,Yes,Healthcare,Low,1.0,Cat_6,
Male,Yes,58,Yes,Artist,Low,1.0,Cat_6,1.0
Male,No,33,No,Doctor,Low,4.0,Cat_6,1.0
Male,Yes,45,Yes,Artist,Average,3.0,Cat_6,
Male,No,20,No,Healthcare,Low,3.0,Cat_6,6.0
Male,No,45,Yes,Entertainment,Low,1.0,Cat_7,1.0
Female,Yes,75,Yes,Artist,High,3.0,Cat_6,1.0
Female,Yes,46,Yes,Artist,Average,4.0,Cat_3,
Male,No,22,No,Healthcare,Low,5.0,Cat_2,
Female,Yes,59,No,Engineer,Average,4.0,Cat_6,
Male,No,38,Yes,Artist,Low,1.0,Cat_6,1.0
Male,Yes,38,Yes,Doctor,Average,2.0,Cat_6,3.0
Female,No,37,No,Artist,Low,1.0,Cat_6,4.0
Male,Yes,40,Yes,Artist,Low,3.0,Cat_6,
Male,Yes,27,Yes,Entertainment,Average,2.0,Cat_6,
Female,No,25,Yes,Doctor,Low,1.0,Cat_4,
Female,Yes,40,Yes,Artist,Low,3.0,Cat_3,
Male,Yes,85,Yes,Artist,Low,1.0,Cat_6,1.0
Male,Yes,52,Yes,Entertainment,Average,5.0,Cat_6,1.0
Female,Yes,41,Yes,Artist,Average,2.0,Cat_6,
Female,Yes,56,Yes,Artist,Average,4.0,Cat_6,
Male,Yes,65,Yes,Lawyer,High,2.0,Cat_6,11.0
Female,Yes,42,Yes,Artist,High,2.0,Cat_2,
Male,Yes,33,Yes,Artist,Average,3.0,Cat_6,1.0
Male,No,46,Yes,Artist,Low,1.0,Cat_6,
Male,Yes,50,Yes,Executive,High,3.0,Cat_6,1.0
Male,Yes,40,Yes,Entertainment,Average,5.0,Cat_6,9.0
Male,Yes,50,Yes,Artist,Average,3.0,Cat_6,1.0
Male,Yes,69,Yes,Artist,Low,1.0,Cat_3,
Male,Yes,70,No,Doctor,High,2.0,Cat_6,1.0
Male,Yes,40,Yes,Artist,Low,3.0,Cat_1,
Male,Yes,55,Yes,Artist,Average,4.0,Cat_6,4.0
Male,Yes,25,Yes,,Low,,Cat_7,
Male,No,39,Yes,Entertainment,Low,3.0,Cat_1,
Female,Yes,60,Yes,Artist,High,2.0,Cat_3,
Male,No,23,No,Healthcare,Low,3.0,Cat_4,1.0
Female,Yes,68,No,Engineer,Low,1.0,Cat_4,
Male,Yes,45,No,Doctor,Low,4.0,Cat_4,
Male,Yes,55,Yes,Artist,Low,1.0,Cat_3,1.0
Male,Yes,49,Yes,Artist,Average,4.0,Cat_6,1.0
Male,Yes,52,Yes,Artist,Average,3.0,Cat_6,
Female,No,35,Yes,Artist,Low,1.0,Cat_6,1.0
Female,Yes,79,Yes,Lawyer,High,2.0,Cat_6,1.0
Female,Yes,46,Yes,Artist,High,,Cat_6,
Male,Yes,53,Yes,Doctor,Low,3.0,Cat_6,
Female,Yes,57,Yes,Artist,High,4.0,Cat_6,
Male,No,26,No,Doctor,Low,2.0,Cat_6,6.0
Female,No,41,No,Artist,Low,1.0,Cat_6,
Male,Yes,66,Yes,,Low,2.0,Cat_2,
Female,No,65,Yes,Lawyer,Low,1.0,Cat_6,
Male,Yes,37,No,Executive,High,6.0,Cat_6,9.0
Male,Yes,53,No,Artist,Average,3.0,Cat_6,8.0
Male,Yes,71,Yes,Artist,Average,2.0,Cat_6,1.0
Female,Yes,35,Yes,Doctor,Average,3.0,Cat_3,
Male,No,41,Yes,Doctor,Low,2.0,Cat_6,4.0
Female,Yes,73,No,Lawyer,Low,2.0,Cat_6,1.0
Male,No,39,Yes,Artist,Low,1.0,Cat_6,
Male,Yes,75,No,Lawyer,Low,1.0,Cat_6,
Female,,41,Yes,Marketing,Low,2.0,Cat_6,
Male,Yes,81,No,Executive,High,2.0,Cat_6,9.0
Female,Yes,38,Yes,Artist,Low,1.0,Cat_6,4.0
Male,Yes,58,Yes,Artist,Low,1.0,Cat_6,2.0
Male,No,20,No,Healthcare,Low,4.0,Cat_6,0.0
Female,No,38,Yes,Doctor,Low,1.0,Cat_6,14.0
Female,No,38,Yes,Artist,Low,1.0,Cat_6,7.0
Male,Yes,82,Yes,Lawyer,Low,,Cat_4,
Male,Yes,26,No,Entertainment,High,2.0,Cat_6,
Male,Yes,38,Yes,Healthcare,Average,4.0,Cat_6,8.0
Female,Yes,65,Yes,Lawyer,Average,4.0,Cat_6,
Female,No,50,Yes,Engineer,Low,1.0,Cat_6,1.0
Female,Yes,84,Yes,Artist,High,2.0,Cat_6,1.0
Female,Yes,53,No,Engineer,Average,4.0,Cat_4,8.0
Female,Yes,36,Yes,Engineer,Low,2.0,Cat_4,11.0
Female,Yes,52,No,Engineer,Average,4.0,Cat_4,6.0
Male,No,51,Yes,Artist,Low,1.0,Cat_6,5.0
Male,No,23,No,Healthcare,Low,3.0,Cat_1,1.0
Male,No,23,No,Healthcare,Low,4.0,Cat_6,
Male,Yes,77,Yes,Lawyer,High,2.0,Cat_6,1.0
Female,No,32,No,Healthcare,Low,4.0,Cat_6,
Female,Yes,56,Yes,Artist,Average,2.0,Cat_6,
Female,,31,Yes,Doctor,Low,3.0,Cat_6,1.0
Female,Yes,30,No,Engineer,Average,2.0,Cat_6,
Female,Yes,68,Yes,Artist,Low,1.0,Cat_4,1.0
Male,Yes,81,Yes,Lawyer,Low,1.0,Cat_6,9.0
Male,No,36,No,Engineer,Low,3.0,Cat_6,3.0
Female,Yes,61,No,Engineer,Low,1.0,Cat_6,
Male,Yes,61,Yes,Entertainment,Average,3.0,Cat_6,11.0
Male,No,35,Yes,Artist,Low,3.0,Cat_6,6.0
Male,Yes,33,Yes,Artist,Low,2.0,Cat_6,
Male,No,38,Yes,Executive,Low,3.0,Cat_6,1.0
Male,Yes,65,Yes,Artist,Average,2.0,Cat_6,
Female,Yes,37,Yes,Artist,Average,3.0,Cat_3,1.0
Female,Yes,61,Yes,Engineer,Average,2.0,Cat_6,
Male,Yes,39,No,Executive,High,5.0,Cat_6,2.0
Female,Yes,49,Yes,Artist,Average,2.0,Cat_6,1.0
Female,Yes,45,Yes,Artist,Average,2.0,Cat_6,1.0
Female,Yes,42,No,Engineer,Low,3.0,Cat_6,1.0
Male,No,19,No,Healthcare,Low,4.0,Cat_7,1.0
Female,No,63,Yes,Artist,Low,1.0,Cat_6,14.0
Male,No,42,Yes,Artist,Low,1.0,Cat_6,1.0
Female,No,31,Yes,Artist,Low,2.0,Cat_6,9.0
Male,Yes,69,Yes,Artist,Average,3.0,Cat_6,
Female,No,32,Yes,Doctor,Low,1.0,Cat_6,8.0
Male,Yes,47,Yes,Homemaker,Low,1.0,Cat_6,
Female,Yes,35,No,Artist,Low,2.0,Cat_6,
Male,Yes,70,Yes,Doctor,High,3.0,Cat_6,1.0
Female,No,33,Yes,Engineer,Low,1.0,Cat_6,10.0
Female,Yes,42,Yes,Artist,High,2.0,Cat_6,2.0
Female,,29,No,Homemaker,Low,1.0,Cat_5,8.0
Female,Yes,66,Yes,Lawyer,High,2.0,Cat_6,1.0
Female,Yes,89,Yes,Lawyer,Low,1.0,Cat_6,2.0
Female,Yes,83,Yes,Executive,High,3.0,Cat_6,1.0
Female,Yes,89,Yes,Lawyer,High,2.0,Cat_6,
Male,Yes,49,Yes,Artist,Average,2.0,Cat_6,9.0
Male,Yes,31,Yes,Healthcare,Low,,Cat_6,9.0
Female,No,89,Yes,Lawyer,Low,1.0,Cat_6,
